SPECIES,LATITUDE,LONGITUDE
KANGAROO,-35.34411175,149.0531497
KANGAROO,-35.3930474,149.15915
KANGAROO,-35.32654075,149.0640801
KANGAROO,-35.25042213,149.1607785
KANGAROO,-35.31994705,149.0641141
KANGAROO,-35.31273582,149.0893287
KANGAROO,-35.30069033,149.0655583
KANGAROO,-35.22903661,149.1676531
KANGAROO,-35.43505801,149.1257231
KANGAROO,-35.38055021,149.0933436
KANGAROO,-35.44102955,149.0868003
RED NECKED WALLABY,-35.37372668,149.082149
KANGAROO,-35.31833318,149.1469485
KANGAROO,-35.31939808,149.1475002
KANGAROO,-35.31853567,149.1470492
KANGAROO,-35.28085354,149.1463617
KANGAROO,-35.38442734,149.1368962
KANGAROO,-35.45313843,149.0857516
KANGAROO,-35.35284108,149.1423949
KANGAROO,-35.44437764,149.1101642
KANGAROO,-35.32986387,149.1227898
KANGAROO,-35.41278653,149.1233945
KANGAROO,-35.38526998,149.0955907
KANGAROO,-35.38524542,149.0960498
KANGAROO,-35.28390447,149.0403207
KANGAROO,-35.28228468,149.1503125
KANGAROO,-35.41072496,149.0870766
KANGAROO,-35.38979923,149.1126377
KANGAROO,-35.38739198,149.1150655
KANGAROO,-35.3663541,149.167408
KANGAROO,-35.44777156,149.0648515
KANGAROO,-35.40154603,149.065291
KANGAROO,-35.41034234,149.0625316
KANGAROO,-35.32939672,149.234492
KANGAROO,-35.36941855,149.0832159
KANGAROO,-35.32475532,149.0967399
KANGAROO,-35.32502538,149.0967377
KANGAROO,-35.406806,149.1387849
KANGAROO,-35.30833708,149.1189217
KANGAROO,-35.40453847,149.0646262
KANGAROO,-35.44526222,149.0794717
KANGAROO,-35.41326891,149.0630405
KANGAROO,-35.37671862,149.1334749
KANGAROO,-35.29655197,148.9257213
KANGAROO,-35.42820265,149.0747434
KANGAROO,-35.26235875,149.1472665
KANGAROO,-35.32910251,149.2306447
KANGAROO,-35.37292435,149.0657874
KANGAROO,-35.38161178,149.0788795
KANGAROO,-35.40475938,149.0633361
KANGAROO,-35.4060055,149.1317316
KANGAROO,-35.24759135,149.0912172
KANGAROO,-35.24195428,149.1109542
KANGAROO,-35.35659335,149.1224081
KANGAROO,-35.42362909,149.1037399
KANGAROO,-35.34536473,149.1153461
KANGAROO,-35.34586813,149.1109788
KANGAROO,-35.34773123,149.1075199
KANGAROO,-35.35408028,149.1004829
